Scenario,Surface,TE.sh,TE.hs,k.surf,Conc.4hour,Conc.surf.i
Baseline,Elevator,0.37011835,0.203620901,0.000243872,3.88E-05,123.0976606
Baseline,Frontdesk,0.373728501,0.206937875,0.000244497,1.78E-06,120.3006067
Baseline,Elevator,0.369865149,0.208394011,0.000244212,3.63E-05,114.9907626
Baseline,Frontdesk,0.374915186,0.204849556,0.000243829,1.69E-06,114.9907626
Baseline,Table,0.316626328,0.25225179,0.000223481,3.78E-08,121.7752484
Baseline,Elevator,0.370591923,0.207338171,0.000244094,3.82E-05,120.0009294
Baseline,Table,0.315851393,0.254218817,0.000223666,3.70E-08,120.0009294
I1,Elevator,0.161465182,0.342920418,0.300194364,1.66E-27,201.631198
I1,Frontdesk,0.373278876,0.204984471,0.00024391,2.98E-06,201.9957202
I1,Elevator,0.161465182,0.342920418,0.300194364,1.61E-27,201.5866103
I1,Frontdesk,0.372838094,0.205211076,0.000244166,2.98E-06,201.5866103
I1,Table,0.316853998,0.253019217,0.000223821,6.25E-08,202.369028
I1,Elevator,0.161465182,0.342920418,0.300194364,1.66E-27,201.719877
I1,Table,0.318921073,0.255629249,0.000223486,6.03E-08,201.719877
I2,Elevator,0.370015625,0.204621633,0.000244468,3.26E-06,10.48417611
I2,Frontdesk,0.372271079,0.207217708,0.000244045,1.48E-07,10.18635885
I2,Elevator,0.371451762,0.205604648,0.000244366,3.24E-06,10.29158089
I2,Frontdesk,0.373621109,0.206266126,0.00024467,1.51E-07,10.29158089
I2,Table,0.3196879,0.252381578,0.000223719,2.99E-09,9.921350607
I2,Elevator,0.370261602,0.2069608,0.000244195,3.11E-06,9.870974573
I2,Table,0.320370669,0.252110595,0.000223601,3.06E-09,9.870974573
I3,Elevator,0.224290017,0.124564643,0.000243735,3.74E-05,118.3817415
I3,Frontdesk,0.22581426,0.126072606,0.000245109,1.81E-06,123.1269605
I3,Elevator,0.224833416,0.125262823,0.000244638,3.72E-05,117.4255895
I3,Frontdesk,0.226106704,0.125141223,0.000244048,1.73E-06,117.4255895
I3,Table,0.194852261,0.154692423,0.000223491,3.67E-08,120.6096369
I3,Elevator,0.225603227,0.124957059,0.000244761,3.80E-05,119.9480569
I3,Table,0.190688889,0.152504314,0.000223303,3.63E-08,119.9480569
I1+I2,Elevator,0.161465182,0.342920418,0.300194364,1.50E-28,16.90055275
I1+I2,Frontdesk,0.37294895,0.205286673,0.000244187,2.50E-07,16.99558662
I1+I2,Elevator,0.161465182,0.342920418,0.300194364,1.54E-28,16.81297132
I1+I2,Frontdesk,0.371282604,0.204678413,0.00024435,2.47E-07,16.81297132
I1+I2,Table,0.320530802,0.252535887,0.000223758,4.90E-09,16.72779549
I1+I2,Elevator,0.161465182,0.342920418,0.300194364,1.54E-28,16.80300127
I1+I2,Table,0.318742413,0.254715222,0.000223781,5.39E-09,16.80300127
I1+I2+I3,Elevator,0.097560702,0.097560702,0.300194364,1.58E-28,16.82980671
I1+I2+I3,Frontdesk,0.371897889,0.207361855,0.000243779,2.47E-07,16.8207871
I1+I2+I3,Elevator,0.097560702,0.097560702,0.300194364,1.58E-28,16.98987535
I1+I2+I3,Frontdesk,0.374893936,0.205417375,0.000244566,2.49E-07,16.98987535
I1+I2+I3,Table,0.318264524,0.24974003,0.000223614,5.05E-09,16.80717558
I1+I2+I3,Elevator,0.097560702,0.097560702,0.300194364,1.53E-28,17.02550812
I1+I2+I3,Table,0.319795356,0.253657672,0.000223481,5.23E-09,17.02550812
I2+I3,Elevator,0.226116571,0.12485583,0.000243634,3.12E-06,9.966835194
I2+I3,Frontdesk,0.22414643,0.124704447,0.0002443,1.48E-07,10.02469949
I2+I3,Elevator,0.224524392,0.125041722,0.000244018,3.13E-06,9.966469549
I2+I3,Frontdesk,0.224882067,0.1238032,0.000244181,1.46E-07,9.966469549
I2+I3,Table,0.191701918,0.153290114,0.000223546,2.89E-09,9.38668856
I2+I3,Elevator,0.224866121,0.123604841,0.000244258,3.20E-06,10.19992276
I2+I3,Table,0.192640337,0.152905209,0.000223287,3.11E-09,10.19992276
